Name,Dirección,Ciudad,Provincia,LATITUD,LONGITUD
FENIX ENERGIA  - (EX  CORS PANAM. 158736),PARANA 3944 ESQ. BLAS PARERA,OLIVOS - GBA,Buenos Aires,-34.5100577,-58.5243862
CORS MITRE - 158738 - Quilmes,AV. GRAL. MITRE 880/92 ESQ. BRANDS,QUILMES - GBA,Buenos Aires,-34.7253350,-58.2510390
SERVICIOS ECHEVERRIA - SUC 158740,CAMINO DE CINTURA Y CALLE OLIMPO,9 DE ABRIL - GBA,Buenos Aires,-34.7421210,-58.4954480
CORS ROSARIO SUR - 158744,BVRD. ORONO 6190 ESQ. BATLLE,ROSARIO,Santa Fe,-33.0090570,-60.6651840
LUBRICANTES Y COMBUSTIBLES DATRI SRL - CODO PACHECO,RUTA 197 Y MOZARD,GRAL PACHECO - GBA,Buenos Aires,-34.4572057,-58.6282754
SOMOS ENERGIA - 158748,MOR. PABLO CABRERA 1807  VILLA CAB,CORDOBA RADIO CIUDAD,Córdoba,-31.3905920,-64.2038220
CORS LAS HERAS - 158752,LAS HERAS 2499,CAPITAL FED ZONA 3,Capital Federal,-34.5860670,-58.3986570
CORS OLIVOS - 158754,"AV. DEL LIBERTADOR, 2376",OLIVOS - GBA,Buenos Aires,-34.5085182,-58.4794429
ENERGY CLEAN SA - Ex SantaMarina,AV. SANTAMARINA 699,TANDIL,Buenos Aires,-37.3231120,-59.1311650
CORS LAFERRERE - 158760,ROJO ESQ.ESTANISLAO DEL CAMPO,LAFERRERE - GBA,Buenos Aires,-34.7487430,-58.5815760
SALINAS CHICO SA (Jara),AV. JUAN B. JUSTO 6065,MAR DEL PLATA,Buenos Aires,-37.9997420,-57.5962970
CODO GALVEZ   JOSE HERMANOS,BVRD GALVEZ 1599,SANTA FE,Santa Fe,-31.6381836,-60.6922531
CORS LA CARMELA - 158781,RUTA NACIONAL 9 Y CORONEL LARRABU,CAMPANA - GBA,Buenos Aires,-34.1913468,-58.9452205
CORS ZARATE - 158783,19 DE MARZO E ITUZAINGO,ZARATE - GBA,Buenos Aires,-34.0967890,-59.0226770
DUNCUE SRL - DON TORCUATO,RUTA 202 ESQ. JUAN DE GARAY,DON TORCUATO - GBA,Buenos Aires,-34.4865631,-58.6173412
CORS RIVADAVIA - 158793,AV. RIVADAVIA 975,CAMPANA - GBA,Buenos Aires,-34.1746940,-58.9601180
CORS PILAR - 158799,RUTA 8 KM 50 ESQ. ACCESO A DERQUI,PILAR - GBA,Buenos Aires,-34.4503937,-58.8705807
SALINAS CHICO SA (Moreno),MORENO 3151 ESQUINA CATAMARCA,MAR DEL PLATA,Buenos Aires,-37.9991189,-57.5539189
JISA S.A. - Resistencia,25 DE MAYO 201 ESQ. VEDIA,RESISTENCIA,Chaco,-27.4495888,-58.9885998
CORS BOMPLAND - 158809,CORDOBA 5653/99 ESQUINA BOMPLAND,CAPITAL FED ZONA 4,Capital Federal,-34.5867410,-58.4410150
SALINAS CHICO SA (Colon),COLON 5002,MAR DEL PLATA,Buenos Aires,-37.9913056,-57.5747222
CORS GUTIERREZ - 158813,RUTA 36 KM. 34,BERAZATEGUI - GBA,Buenos Aires,-34.8404950,-58.1879010
CORS EL ARCO - 158819,A. SABATTINI 4720,CORDOBA RADIO CIUDAD,Córdoba,-31.4393150,-64.1282390
CORS CENTENERA - 158821,CRUZ 1501,CAPITAL FED ZONA 2,Capital Federal,-34.6479210,-58.4288550
TECNOLOGÍA D'ATRI SRL,AV. BRASIL 2984,CAPITAL FEDERAL,Capital Federal,-34.6337880,-58.4057860
VESCIA ERNESTO,RUTA NAC. 38 Y M.   VILLANUEVA,CHAMICAL,La Rioja,-30.3514280,-66.3123220
NTI 2019 - ZAMAR,"RUTA PROV. 11 KM 891,5",LAS TOSCAS,Santa Fe,-28.3502010,-59.2642660
CHIQUI GARCIA SRL,AV SAN LORENZO 1049,CONCORDIA,Entre Rios,-31.3815610,-58.0370360
BORTOLON Y URQUIZA  Freyre,RUTA 158 Y ACCESO A FREYRE,FREYRE,Córdoba,-31.1766185,-62.1031294
NTI 2017 - ORLANDO Y HERALDO SCHULZ (VILLA 2-13),RUTA PROV. 3 Y REP. DE ALEMANIA,VILLA DOS TRECE,Formosa,-26.1894310,-59.3585870
PROCOSUD SOCIEDAD ANONIMA,"RUTA 226 KM 7,5",MAR DEL PLATA,Buenos Aires,-37.9395964,-57.6571469
POSTA DEL MERCOSUR, RUTA NAC 158 Y RUTA N 6 S/N,DALMACIO VELEZ SARSFIELD,Córdoba,-32.6072890,-63.5764060
ESSA SRL,MARCHINI Y RUTA NACIONAL 12,NOGOYA,Entre Rios,-32.3822220,-59.7902780
MONTE VERA DE LOPEZ RICARDO SUCESION 194549,SAN MARTIN 5951 (RUTA PROV. 2),MONTEVERA,Santa Fe,-31.5163994,-60.6813526
MAVAL SA,AV. MUZZIO Y FTE. SAN JOSE 429,PUERTO MADRYN,Chubut,-42.7667330,-65.0468540
GNC CICALV SRL,BLAS PARERA 1276,CASTELAR - GBA,Buenos Aires,-34.6733180,-58.6640700
TRANSFENOR SRL ,RUTA NAC.11 KM. 787 Y RUTA PROV.98,RECONQUISTA,Santa Fe,-29.1608280,-59.6579290
ROMA COMBUSTIBLES SA,ALEM E ITURBIDE,VENADO TUERTO,Santa Fe,-33.7601810,-61.9575060
CENTENARIO SA,CENTENARIO Y RIOBAMBA,SAN LUIS,San Luis,-33.2782400,-66.3177100
RUTA 36 S.R.L. SUCESOR DE 204223,AV VELEZ SARSFIELD 5030,CORDOBA,Córdoba,-31.4740460,-64.2031260
RAFITA SA,TARIGO 1109,ROQUE PEREZ,Buenos Aires,-35.4026220,-59.3353220
ALLI VAMOS José C Paz,HIPOLITO YRIGOYEN 696 RUTA PROV. 24,JOSE C PAZ - GBA,Buenos Aires,-34.5135870,-58.7402060
NUEVOS EMPRENDIMIENTOS SRL,AV EVA PERON 4350,CAPITAL FEDERAL,Capital Federal,-34.6532350,-58.4734400
PONCE JOSE MARIA - Aeropuerto,MUÑIZ Y RUTA 158,LAS HIGUERAS,Córdoba,-33.0927980,-64.3072510
EL PUERTO COMBUSTIBLES SA,27 DE FEBRERO Y MENDOZA,SANTA FE,Santa Fe,-31.6496370,-60.7040170
SERV GEN DEHEZA SA,BUENOS AIRES 720,GENERAL DEHEZA,Córdoba,-32.7588390,-63.7978860
NTI 2016 - ECHANDI LUIS EDUARDO,RUTA 11 Y B.MITRE 0,GENERAL LAVALLE,Buenos Aires,-36.4299300,-56.9163900
NTI 2016 - VALLE DEL ZENTA,PELLEGRINI Y GUEMES,SAN RAMON DE LA NUEVA ORAN,Salta,-23.1318210,-64.3225000
NTI 2013 - GNC FERRARI SRL,AV. CALLE REAL 464 ESQ. ARIS. DEL VALLE,MERLO  - GBA,Buenos Aires,-34.6758000,-58.7165030
NTI 2013 - JYF SRL  Yrigoyen y Cordoba Catamarca,YRIGOYEN ESQ CORDOBA,CATAMARCA,Catamarca,-28.4851345,-65.7780209
NTI 2013 - ENCUENTRO GNC SRL,BAIGORRIA 1300,CORDOBA,Córdoba,-31.4452840,-64.2120020
NTI 2013 - Full Petrol - La Argentina,Av 6 de julio 1358,CAMPANA - GBA,Buenos Aires,-34.1833040,-58.9426270
NTI 2013 - ORTIZ RAMON AGUSTIN,JUAN ROMERO ESQ. RUTA 5,SAN LUIS DEL PALMAR,Corrientes,-27.5157080,-58.5654370
NTI 2014 - Bonadio - Mansue S.A.,COLECTORA 12 DE OCTUBRE Y CHACABUCO,PILAR - GBA,Buenos Aires,-34.4416333,-58.8571417
"NTI 2013 - Umpy srl - Valleviejo, Catamarca",RUTA 38 Y CIRCUNVALACION,SAN ISIDRO (VALLE VIEJO),Catamarca,-28.4704360,-65.6934570
NTI 2013 - BAX S A,DON BOSCO 2285/89,MORON - GBA,Buenos Aires,-34.6621690,-58.5964860
NTI 2013 - CORGAS Guiñazu,"AV JUAN B JUSTO MANO AL NORTE, ESQ NTRA SRA DE LOS MILAGROS",CORDOBA - BARRIO GUIÑAZU,Córdoba,-31.3129050,-64.1756770
NTI 2013 - Lubricom Formosa,ESPAÑA 495,FORMOSA,Formosa,-26.1822720,-58.1700650
NTI 2017 - LATSER,AV SAN MARTIN,PERICO,Jujuy,-24.3778300,-65.1225900
